2026-07-25T06:43:34+0900 detect exit=1 20260725_064331.jpg 
2026-07-25T06:43:36+0900 detect start 20260725_064334.jpg
2026-07-25T06:43:37+0900 detect exit=1 20260725_064334.jpg 
2026-07-25T06:43:40+0900 detect start 20260725_064338.jpg
2026-07-25T06:43:41+0900 detect exit=1 20260725_064338.jpg 
2026-07-25T06:43:44+0900 detect start 20260725_064342.jpg
2026-07-25T06:43:45+0900 detect exit=1 20260725_064342.jpg 
2026-07-25T06:43:47+0900 detect start 20260725_064346.jpg
2026-07-25T06:43:49+0900 detect exit=1 20260725_064346.jpg 
2026-07-25T06:43:51+0900 detect start 20260725_064349.jpg
2026-07-25T06:43:52+0900 detect exit=1 20260725_064349.jpg 
2026-07-25T06:43:54+0900 detect start 20260725_064352.jpg
2026-07-25T06:43:55+0900 detect exit=1 20260725_064352.jpg 
2026-07-25T06:43:56+0900 detect start 20260725_064355.jpg
2026-07-25T06:43:57+0900 detect exit=1 20260725_064355.jpg 
2026-07-25T06:44:00+0900 detect start 20260725_064358.jpg
2026-07-25T06:44:02+0900 detect exit=1 20260725_064358.jpg 
2026-07-25T06:44:04+0900 detect start 20260725_064402.jpg
2026-07-25T06:44:05+0900 detect exit=1 20260725_064402.jpg 
2026-07-25T06:44:08+0900 detect start 20260725_064406.jpg
2026-07-25T06:44:09+0900 detect exit=1 20260725_064406.jpg 
2026-07-25T06:44:12+0900 detect start 20260725_064410.jpg
2026-07-25T06:44:13+0900 detect exit=1 20260725_064410.jpg 
2026-07-25T06:44:15+0900 detect start 20260725_064413.jpg
2026-07-25T06:44:17+0900 detect exit=1 20260725_064413.jpg 
2026-07-25T06:44:20+0900 detect start 20260725_064417.jpg
2026-07-25T06:44:21+0900 detect exit=1 20260725_064417.jpg 
2026-07-25T06:44:23+0900 detect start 20260725_064421.jpg
2026-07-25T06:44:24+0900 detect exit=1 20260725_064421.jpg 
2026-07-25T06:44:27+0900 detect start 20260725_064425.jpg
2026-07-25T06:44:28+0900 detect exit=1 20260725_064425.jpg 
2026-07-25T06:44:29+0900 detect start 20260725_064428.jpg
2026-07-25T06:44:30+0900 detect exit=1 20260725_064428.jpg 
2026-07-25T06:44:33+0900 detect start 20260725_064431.jpg
2026-07-25T06:44:35+0900 detect exit=1 20260725_064431.jpg 
2026-07-25T06:44:37+0900 detect start 20260725_064435.jpg
2026-07-25T06:44:38+0900 detect exit=1 20260725_064435.jpg 
2026-07-25T06:44:41+0900 detect start 20260725_064439.jpg
2026-07-25T06:44:42+0900 detect exit=1 20260725_064439.jpg 
2026-07-25T06:44:44+0900 detect start 20260725_064443.jpg
2026-07-25T06:44:45+0900 detect exit=1 20260725_064443.jpg 
2026-07-25T06:44:47+0900 detect start 20260725_064446.jpg
2026-07-25T06:44:48+0900 detect exit=1 20260725_064446.jpg 
2026-07-25T06:44:50+0900 detect start 20260725_064449.jpg
2026-07-25T06:44:52+0900 detect exit=1 20260725_064449.jpg 
2026-07-25T06:45:09+0900 detect start 20260725_064507.jpg
2026-07-25T06:45:10+0900 detect exit=1 20260725_064507.jpg 
2026-07-25T06:45:13+0900 detect start 20260725_064511.jpg
2026-07-25T06:45:14+0900 detect exit=1 20260725_064511.jpg 
2026-07-25T06:45:17+0900 detect start 20260725_064515.jpg
2026-07-25T06:45:18+0900 detect exit=1 20260725_064515.jpg 
2026-07-25T06:45:20+0900 detect start 20260725_064519.jpg
2026-07-25T06:45:22+0900 detect exit=1 20260725_064519.jpg 
2026-07-25T06:45:24+0900 detect start 20260725_064522.jpg
2026-07-25T06:45:25+0900 detect exit=1 20260725_064522.jpg 
2026-07-25T06:45:27+0900 detect start 20260725_064525.jpg
2026-07-25T06:45:28+0900 detect exit=1 20260725_064525.jpg 
2026-07-25T06:45:30+0900 detect start 20260725_064528.jpg
2026-07-25T06:45:31+0900 detect exit=1 20260725_064528.jpg 
2026-07-25T06:45:34+0900 detect start 20260725_064532.jpg
2026-07-25T06:45:36+0900 detect exit=1 20260725_064532.jpg 
2026-07-25T06:45:39+0900 detect start 20260725_064536.jpg
2026-07-25T06:45:40+0900 detect exit=1 20260725_064536.jpg 
2026-07-25T06:45:42+0900 detect start 20260725_064540.jpg
2026-07-25T06:45:43+0900 detect exit=1 20260725_064540.jpg 
2026-07-25T06:45:45+0900 detect start 20260725_064543.jpg
2026-07-25T06:45:46+0900 detect exit=1 20260725_064543.jpg 
2026-07-25T06:45:48+0900 detect start 20260725_064546.jpg
2026-07-25T06:45:50+0900 detect exit=1 20260725_064546.jpg 
2026-07-25T06:45:52+0900 detect start 20260725_064550.jpg
2026-07-25T06:45:53+0900 detect exit=1 20260725_064550.jpg 
2026-07-25T06:45:56+0900 detect start 20260725_064554.jpg
2026-07-25T06:45:57+0900 detect exit=1 20260725_064554.jpg 
2026-07-25T06:45:59+0900 detect start 20260725_064558.jpg
2026-07-25T06:46:00+0900 detect exit=1 20260725_064558.jpg 
2026-07-25T06:46:03+0900 detect start 20260725_064601.jpg
2026-07-25T06:46:04+0900 detect exit=1 20260725_064601.jpg 
2026-07-25T06:46:08+0900 detect start 20260725_064605.jpg
2026-07-25T06:46:09+0900 detect exit=1 20260725_064605.jpg 
